code,current,name,gender,function,country_code,country_long,nationality,nationality_code,disciplines,events,birth_date
1532872,TRUE,ALEKSANYAN Artur,Male,Athlete,ARM,Armenia,Armenia,ARM,['Wrestling'],"[""Men's Greco-Roman 97kg""]",21-10-1991
1532873,TRUE,AMOYAN Malkhas,Male,Athlete,ARM,Armenia,Armenia,ARM,['Wrestling'],"[""Men's Greco-Roman 77kg""]",22-01-1999
1532874,TRUE,GALSTYAN Slavik,Male,Athlete,ARM,Armenia,Armenia,ARM,['Wrestling'],"[""Men's Greco-Roman 67kg""]",21-12-1996
1532944,TRUE,HARUTYUNYAN Arsen,Male,Athlete,ARM,Armenia,Armenia,ARM,['Wrestling'],"[""Men's Freestyle 57kg""]",22-11-1999
1532945,TRUE,TEVANYAN Vazgen,Male,Athlete,ARM,Armenia,Armenia,ARM,['Wrestling'],"[""Men's Freestyle 65kg""]",27-10-1999
1532951,TRUE,ARENAS Lorena,Female,Athlete,COL,Colombia,Colombia,COL,['Athletics'],"[""Women's 20km Race Walk"", 'Marathon Race Walk Relay Mixed']",17-09-1993
1533112,TRUE,McKENZIE Ashley,Male,Athlete,JAM,Jamaica,Jamaica,JAM,['Judo'],['Men -60 kg'],17-07-1989
1533136,TRUE,BASS BITTAYE Gina Mariam,Female,Athlete,GAM,Gambia,Gambia,GAM,['Athletics'],"[""Women's 100m"", ""Women's 200m""]",03-05-1995
1533176,TRUE,CAMARA Ebrahima,Male,Athlete,GAM,Gambia,Gambia,GAM,['Athletics'],"[""Men's 100m""]",18-09-1996
1533188,TRUE,RUEDA SANTOS Lizeth,Female,Athlete,MEX,Mexico,Mexico,MEX,['Triathlon'],"[""Women's Individual""]",07-03-1994
1533189,TRUE,TAPIA VIDAL Rosa Maria,Female,Athlete,MEX,Mexico,Mexico,MEX,['Triathlon'],"[""Women's Individual""]",27-08-1997
1533190,TRUE,GRAJALES Crisanto,Male,Athlete,MEX,Mexico,Mexico,MEX,['Triathlon'],"[""Men's Individual""]",06-05-1987
1533208,TRUE,MAAROUFOU Hachim,Male,Athlete,COM,Comoros,Comoros,COM,['Athletics'],"[""Men's 100m""]",13-02-1997
1533209,TRUE,SAADI Maesha,Female,Athlete,COM,Comoros,Comoros,COM,['Swimming'],"[""Women's 50m Freestyle""]",16-01-2007
1533230,TRUE,DIOSDADO Nuria,Female,Athlete,MEX,Mexico,Mexico,MEX,['Artistic Swimming'],"['Team', 'Duet']",22-08-1990
1533231,TRUE,JIMENEZ Joana,Female,Athlete,MEX,Mexico,Mexico,MEX,['Artistic Swimming'],"['Team', 'Duet']",19-08-1993
1533232,TRUE,SOBRINO Jessica,Female,Athlete,MEX,Mexico,Mexico,MEX,['Artistic Swimming'],['Team'],26-05-1994
1533234,TRUE,ALFEREZ Regina,Female,Athlete,MEX,Mexico,Mexico,MEX,['Artistic Swimming'],['Team'],01-12-1997
1533235,TRUE,ARELLANO Fernanda,Female,Athlete,MEX,Mexico,Mexico,MEX,['Artistic Swimming'],['Team'],28-02-2002
1533237,TRUE,TOSCANO Pamela,Female,Athlete,MEX,Mexico,Mexico,MEX,['Artistic Swimming'],['Team'],13-01-2000
1533239,TRUE,GONZALEZ Itzamary,Female,Athlete,MEX,Mexico,Mexico,MEX,['Artistic Swimming'],['Team'],14-11-2003
1533240,TRUE,RODRIGUEZ Samanta,Female,Athlete,MEX,Mexico,Mexico,MEX,['Artistic Swimming'],['Team'],05-12-1994
1533243,TRUE,INZUNZA Glenda,Female,Alternate Athlete,MEX,Mexico,Mexico,MEX,['Artistic Swimming'],['Team'],12-03-2000
1533245,TRUE,SEHEN Sajjad,Male,Athlete,IRQ,Iraq,Iraq,IRQ,['Judo'],['Men -81 kg'],08-03-1996
1533359,TRUE,RUBAIAWI Ali Ammar Yusur,Male,Athlete,IRQ,Iraq,Iraq,IRQ,['Weightlifting'],"[""Men's +102kg""]",02-08-2004
1533364,TRUE,ISMAIL Mohamed,Male,Athlete,DJI,Djibouti,Djibouti,DJI,['Athletics'],"[""Men's 5000m""]",01-01-1997
1533371,TRUE,HASSAN Ibrahim,Male,Athlete,DJI,Djibouti,Djibouti,DJI,['Athletics'],"[""Men's Marathon""]",01-01-1997
1533372,TRUE,WAISS Abdi,Male,Athlete,DJI,Djibouti,Djibouti,DJI,['Athletics'],"[""Men's 5000m""]",03-07-1996
1533374,TRUE,HASSAN NOUR Samiyah,Female,Athlete,DJI,Djibouti,Djibouti,DJI,['Athletics'],"[""Women's 5000m""]",05-12-1999
1533378,TRUE,HOUSSEIN BARKAT Houmed,Male,Athlete,DJI,Djibouti,Djibouti,DJI,['Swimming'],"[""Men's 50m Freestyle""]",04-04-2004
1535180,TRUE,BARAT Andy,Male,Athlete,COM,Comoros,Comoros,COM,['Canoe Slalom'],"[""Men's Kayak Single"", ""Men's Kayak Cross""]",29-11-1997
1535186,TRUE,MARTINEZ RAMIREZ Miguel Angel,Male,Athlete,MEX,Mexico,Mexico,MEX,['Boxing'],"[""Men's 63.5kg""]",17-03-2001
1535187,TRUE,VERDE ALVAREZ Marco Alonso,Male,Athlete,MEX,Mexico,Mexico,MEX,['Boxing'],"[""Men's 71kg""]",11-02-2002
1535191,TRUE,GONZALEZ Alegna,Female,Athlete,MEX,Mexico,Mexico,MEX,['Athletics'],"[""Women's 20km Race Walk"", 'Marathon Race Walk Relay Mixed']",02-01-1999
1535195,TRUE,LOPEZ Jesus Tonatiu,Male,Athlete,MEX,Mexico,Mexico,MEX,['Athletics'],"[""Men's 800m""]",02-08-1997
1535199,TRUE,PORTILLO Erick,Male,Athlete,MEX,Mexico,Mexico,MEX,['Athletics'],"[""Men's High Jump""]",05-10-2000
1535201,TRUE,MUNOZ Uziel,Male,Athlete,MEX,Mexico,Mexico,MEX,['Athletics'],"[""Men's Shot Put""]",08-09-1995
1535202,TRUE,del REAL Diego,Male,Athlete,MEX,Mexico,Mexico,MEX,['Athletics'],"[""Men's Hammer Throw""]",06-03-1994
1535203,TRUE,DOCTOR Jose Luis,Male,Athlete,MEX,Mexico,Mexico,MEX,['Athletics'],"[""Men's 20km Race Walk""]",14-06-1996
1535212,TRUE,MORAN Paola,Female,Athlete,MEX,Mexico,Mexico,MEX,['Athletics'],"[""Women's 400m""]",25-02-1997
1535214,TRUE,GALVAN Laura,Female,Athlete,MEX,Mexico,Mexico,MEX,['Athletics'],"[""Women's 5000m""]",05-10-1991
